  vx           vy
  0.60900E+00  0.63731E+00
  0.65489E+00  0.64409E+00
  0.71901E+00  0.62856E+00
  0.80053E+00  0.57333E+00
  0.86334E+00  0.49144E+00
  0.90674E+00  0.37669E+00
  0.90821E+00  0.28332E+00
  0.89210E+00  0.21150E+00
  0.86544E+00  0.16995E+00
  0.83637E+00  0.15062E+00
  0.80409E+00  0.14921E+00
  0.76611E+00  0.16254E+00
  0.71865E+00  0.18853E+00
  0.65991E+00  0.22516E+00
  0.58869E+00  0.27241E+00
  0.51211E+00  0.32442E+00
  0.43366E+00  0.37881E+00
  0.36003E+00  0.42632E+00
  0.29121E+00  0.46496E+00
  0.22731E+00  0.49370E+00
  0.16717E+00  0.51402E+00
  0.10990E+00  0.52738E+00
  0.54486E-01  0.53493E+00
  0.34799E-15  0.53737E+00
  0.53876E-13  0.14206E+01
  0.28786E+00  0.13588E+01
  0.53343E+00  0.11895E+01
  0.70191E+00  0.97216E+00
  0.80085E+00  0.74904E+00
  0.84213E+00  0.56712E+00
  0.85221E+00  0.43494E+00
  0.84582E+00  0.35164E+00
  0.83110E+00  0.30971E+00
  0.80997E+00  0.30293E+00
  0.78228E+00  0.32572E+00
  0.74769E+00  0.37157E+00
  0.70909E+00  0.43073E+00
  0.66965E+00  0.49228E+00
  0.63662E+00  0.54531E+00
  0.61409E+00  0.58412E+00
  0.60617E+00  0.60617E+00
  0.61487E+00  0.61140E+00
  0.64054E+00  0.59890E+00
  0.68188E+00  0.56572E+00
  0.73047E+00  0.51144E+00
  0.77887E+00  0.43652E+00
  0.81362E+00  0.35660E+00
  0.83419E+00  0.28093E+00
  0.84013E+00  0.22365E+00
  0.83730E+00  0.18710E+00
  0.82825E+00  0.17154E+00
  0.81349E+00  0.17529E+00
  0.79084E+00  0.19711E+00
  0.75692E+00  0.23522E+00
  0.70776E+00  0.28679E+00
  0.64395E+00  0.34545E+00
  0.56646E+00  0.40556E+00
  0.48385E+00  0.45887E+00
  0.40075E+00  0.50285E+00
  0.32227E+00  0.53581E+00
  0.24953E+00  0.55947E+00
  0.18224E+00  0.57565E+00
  0.11918E+00  0.58608E+00
  0.58901E-01  0.59190E+00
 -0.22579E-13  0.59377E+00
 -0.21692E-13  0.11727E+01
  0.18955E+00  0.11275E+01
  0.36412E+00  0.10056E+01
  0.50815E+00  0.84082E+00
  0.61983E+00  0.67071E+00
  0.69940E+00  0.52390E+00
  0.75320E+00  0.41396E+00
  0.78865E+00  0.34337E+00
  0.81107E+00  0.31020E+00
  0.82271E+00  0.31184E+00
  0.82182E+00  0.34526E+00
  0.80660E+00  0.40245E+00
  0.77087E+00  0.47265E+00
  0.72753E+00  0.53548E+00
  0.67743E+00  0.58376E+00
  0.63731E+00  0.60900E+00
  0.61140E+00  0.61487E+00
  0.60271E+00  0.60271E+00
  0.61068E+00  0.57367E+00
  0.63293E+00  0.52787E+00
  0.66596E+00  0.46674E+00
  0.70397E+00  0.39617E+00
  0.74119E+00  0.32432E+00
  0.77290E+00  0.26117E+00
  0.79724E+00  0.21301E+00
  0.81433E+00  0.18339E+00
  0.82533E+00  0.17324E+00
  0.83030E+00  0.18332E+00
  0.82708E+00  0.21481E+00
  0.81008E+00  0.26838E+00
  0.77415E+00  0.33922E+00
  0.70983E+00  0.41977E+00
  0.62920E+00  0.49173E+00
  0.53217E+00  0.55079E+00
  0.43663E+00  0.59024E+00
  0.34698E+00  0.61628E+00
  0.26616E+00  0.63256E+00
  0.19306E+00  0.64291E+00
  0.12568E+00  0.64925E+00
  0.61957E-01  0.65271E+00
