vx  vy
0.21206E+00  0.68866E+00
0.10240E-04  0.74143E-05
0.90055E-05  0.96922E-05
0.63521E-05  0.11403E-04
0.46640E-05  0.11189E-04
0.34184E-05  0.99466E-05
0.35498E-05  0.75249E+00
0.19271E-02  0.74259E+00
-0.13299E-02  0.72614E+00
0.10573E-13  0.71712E+00
-0.87392E-13  0.25107E+01
-0.47673E+00  0.30111E+01
-0.45045E-04  0.68547E-04
0.20742E-06  0.54630E-04
0.13605E-04  0.56815E-04
0.24349E-04  0.54083E-04
0.29048E-04  0.53759E-04
0.75564E-04  0.29310E+01
0.82447E+00  0.80935E+00
0.64599E+00  0.15637E+00
0.70335E+00  0.10632E+00
0.84835E+00  0.20587E+00
0.10846E+01  0.49520E+00
0.15599E+01  0.68110E+00
0.74943E+00  0.11649E+01
0.38770E+00  0.10305E+01
0.32592E-04  0.10699E-04
0.30161E-04  0.90918E-05
0.25630E-04  0.90525E-05
0.22984E-04  0.81954E-05
0.22288E-04  0.69635E-05
0.22192E-04  0.53634E+00
0.88752E-01  0.47122E+00
0.14800E-04  0.14683E-03
0.10661E-04  0.14766E-03
0.87816E-05  0.14840E-03
0.82965E-05  0.14909E-03
0.91804E-05  0.14968E-03
0.15128E-02  0.18432E+01
0.72648E+00  0.85830E+00
0.42459E+00  0.84412E+00
0.33730E+00  0.89131E+00
0.20816E-04  0.78016E-05
0.97190E-05  0.15078E-04
0.65595E-05  0.13565E-04
0.37054E-05  0.13248E-04
0.16147E-05  0.11191E-04
-0.32785E-05  0.77091E+00
-0.41496E-01  0.75476E+00
-0.14965E-01  0.71310E+00
-0.38555E-14  0.70883E+00
-0.75992E-13  0.27650E+01
-0.59620E-01  0.28513E+01
-0.30432E-05  0.25490E-04
-0.11248E-05  0.45226E-04
0.11154E-04  0.45475E-04
0.18947E-04  0.42608E-04
0.29838E-04  0.34118E-04
0.29183E-04  0.20921E+01
-0.15195E-04  0.41067E-04
0.66010E-05  0.27495E-04
0.68619E-05  0.27432E-04
0.96752E-05  0.26575E-04
0.97498E-05  0.38656E-04
0.45989E-04  0.24665E+01
0.77669E+00  0.13576E+01
0.45947E+00  0.13609E+01
0.42097E-04  0.11424E-04
0.26975E-04  0.16581E-04
0.24273E-04  0.11598E-04
0.21919E-04  0.10041E-04
0.18360E-04  0.84915E-05
0.19750E-04  0.44289E+00
0.62084E-01  0.45122E+00
0.12350E-04  0.14419E-03
0.11315E-04  0.14420E-03
0.10112E-04  0.14427E-03
0.88580E-05  0.14439E-03
0.75935E-05  0.14457E-03
0.14544E-02  0.10796E+01
0.28038E+00  0.10082E+01
0.46051E+00  0.80603E+00
0.40328E+00  0.12027E+01
0.15460E+01  0.32347E-04
0.83587E+00  0.17429E-04
0.53060E+00  0.16685E-04
0.29013E+00  0.15089E-04
0.12991E-01  0.16649E-04
-0.52863E+00  0.87434E+00
-0.41467E-01  0.67583E+00
-0.31327E-01  0.69482E+00
-0.18082E-13  0.69251E+00
-0.12266E-12  0.28526E+01
-0.83227E-02  0.28741E+01
0.53146E-05  0.29504E-04
0.72699E-05  0.35700E-04
0.10618E-04  0.39035E-04
0.14948E-04  0.36747E-04
0.17755E-04  0.30371E-04
0.19845E-04  0.20219E+01
0.37025E-05  0.17494E-04
0.26388E-05  0.25733E-04
0.73281E-05  0.24802E-04
0.94057E-05  0.25549E-04
0.16620E-04  0.22936E-04
0.18057E-04  0.16926E+01
0.26878E+00  0.14596E+01
0.20921E+00  0.17675E+01
0.24079E+01  0.44760E-04
0.21119E+01  0.15863E-04
0.21226E+01  0.13122E-04
0.21305E+01  0.13031E-04
0.19077E+01  0.73917E-05
